DATE    |OPEN  |LOW   |HI    |CLOSE |VOLUME |EMA13   |EMA26
20100209|269.5|267.27|270.49|267.95|3826676|270.9292|356.2807
20100208|265.98|265.5|270.73|266.47|3826676|271.4257|353.3748
20100205|263.94|260.97|266.48|265.38|3826676|272.2516|350.4259
20100204|268.23|262.52|268.73|263.13|3826676|273.3969|347.0
20100203|264.07|263.85|270.78|270.14|3826676|275.1081|342.4122
20100202|267.21|263.54|267.21|265.29|3826676|275.9361|339.0128
20100201|267.03|264.88|267.64|266.24|3826676|277.7104|338.1867
20100129|268.98|262.54|270.22|264.71|3826676|279.6222|337.9175
20100128|271.97|265.03|273.23|266.88|3826676|282.1075|337.671
20100127|270.36|267.39|273.55|270.78|3826676|284.6454|337.4333
20100126|268.72|267.88|274.53|270.94|3826676|286.9563|337.269
20100125|273.02|267.49|274.66|269.73|3826676|289.6257|337.1615
20100122|281.97|267.16|285.01|274.73|3826676|292.9417|336.9429
20100121|291.43|285.84|293.12|291.2|3826676|295.977|336.1746
20100120|292.7|287.36|292.7|289.91|3826676|296.7731|334.9503
20100119|290.45|287.86|294.91|293.52|3826676|297.917|333.7061
20100115|295.5|288.73|296.48|289.71|3826676|298.6498|332.5187
20100114|291.66|291.11|296.8|294.63|3826676|300.1398|331.7705
20100113|287.96|286.66|293.9|293.25|3826676|301.0581|332.1204
20100112|298.74|293.71|298.78|294.94|3826676|302.3594|332.74
20100111|301.93|296.72|301.93|300.25|3826676|303.596|332.8844
20100108|295.7|294.26|301.32|300.71|3826676|304.1537|333.202
