DATE    ,OPEN  ,LOW   ,HI    
20120315,307.99,307.11,311.44
20120314,307.19,306.42,311.08
20120313,304.07,302.47,308.62
20120312,299.7,299.33,303.2
20120309,303.67,299.7,305.64
20120308,304.71,302.87,305.44
20120307,304.22,302.63,305.29
20120306,303.72,296.62,304.1
20120305,309.9,305.38,310.93
20120302,310.69,309.85,311.69
20120301,310.82,308.77,312.54
20120229,308.99,307.44,312.49
20120228,304.7,303.54,309.58
20120227,302.99,302.23,305.87
20120224,303.37,302.45,305.52
20120223,303.2,299.87,303.67
20120222,305.67,303.05,308.08
20120221,301.63,301.14,308.63
20120217,302.18,300.9,303.51
20120216,301.11,298.57,304.1
20120215,306.16,300.98,306.16
20120214,305.46,302.08,305.69
20120213,304.94,304.7,306.61
20120210,303.64,301.7,303.76
20120209,305.7,304.2,306.94
20120208,304.02,302.07,305.37
20120207,303.27,301.58,304.39
20120206,297.21,296.71,305.11
20120203,295.03,293.73,298.24
20120202,292.14,290.75,292.91
20120201,292.18,289.28,292.46
20120131,291.21,287.29,291.71
20120130,288.74,286.41,289.71
20120127,285.1,284.38,289.87
20120126,285.7,281.99,286.95
20120125,288.47,282.91,289.07
20120124,292.87,288.71,293.55
20120123,292.71,291.29,294.04
20120120,294.97,290.56,295.2
20120119,320.17,315.41,320.17
20120118,313,310.75,316.68
20120117,315.67,312.53,315.67
20120113,312.82,310.22,313.16
20120112,315.29,312.94,316.13
20120111,311.44,310.25,314.38
20120110,314.56,308.15,316.58
20120109,322.93,310.3,323.18
20120106,329.25,324.57,329.67
20120105,330.73,327.79,331.65
20120104,332.18,329.98,334.79
20120103,326.14,325.86,333.74
20111230,320.69,320.69,323.06
20111229,320.42,317.28,321.18
20111228,321.05,318.73,322.18
20111227,315.71,315.68,321.92
20111223,315.68,314.96,317.02
20111222,313.66,313.19,315.55
20111221,314.69,309.17,315.59
20111220,313.69,313.68,315.6
20111219,313.69,309.69,313.94
20111216,311.85,310.42,314.35
20111215,310.95,309.04,311.69
20111214,310.61,305.94,311.85
20111213,314.07,311.11,317.96
20111212,310.63,309.83,312.78
20111209,308.69,308.2,314.25
20111208,310.21,307.34,313.41
20111207,310.53,308.74,312.52
20111206,311.18,309.81,314
20111205,313.51,310.89,315.63
20111202,308.22,307.82,311.69
20111201,299.7,299.2,307.69
20111130,298.68,295.75,299.46
20111129,293.65,290.37,294.88
20111128,289.4,287.96,294.12
20111125,282.31,280.38,286.85
20111123,287.39,284.77,289.83
20111122,289.71,287.33,292.19
20111121,293.59,285.76,293.96
20111118,300.7,296.58,301.95
20111117,304.72,298.09,305.84
20111116,305.73,305,308.84
20111115,306.09,304.94,308.73
20111114,303.7,303.59,308.73
20111111,300.35,299,305.74
20111110,302.66,295.48,302.67
20111109,301.83,299.03,304.39
20111108,304.2,301.5,306.88
20111107,296.36,295.82,304.09
20111104,296.45,295.92,299.57
20111103,293.21,291.57,298.45
20111102,292.16,289.95,293.69
20111101,289.76,288.09,292.46
20111031,297.25,295.54,299.55
20111028,296.96,296.83,300.85
20111027,298.91,296.35,301.05
20111026,294.48,286.14,294.79
20111025,296.25,291.13,297.2
20111024,293.07,292.96,299.69
20111021,294.46,293.06,296.08
20111020,290.66,289.47,294.15
20111019,293.38,289.32,295.73
20111018,289.8,288.41,295.98
20111017,291.57,288.71,295.62
20111014,299.44,293.49,299.5
20111013,274.74,273.74,279.22
20111012,273.79,272.04,277.34
20111011,266.46,266.46,273.13
20111010,262.33,261.34,268.47
20111007,258.16,254.89,259.99
20111006,253.5,251.05,257.36
20111005,247.93,240.14,253.65
20111004,244.77,240.06,251.47
20111003,254.67,247.25,255.74
20110930,259.84,256.93,261.74
20110929,267.75,259.45,268.38
20110928,270.48,263.59,271.74
20110927,268.83,267.76,273.25
20110926,263.36,256.37,266.2
20110923,258.02,256.99,262.95
20110922,262.86,256.74,264.12
20110921,273.57,269.16,277.22
20110920,274.42,271.06,278.98
20110919,269.9,267.42,274.68
20110916,272.13,271.3,273.15
20110915,267.48,267.01,272.22
20110914,266.03,262.65,268.21
20110913,265.73,261.44,266.67
20110912,258.72,258.49,265.73
20110909,265.43,260.33,267.06
20110908,266.63,265.68,269.28
20110907,264.96,263.44,267.7
20110906,255.14,254.99,261.12
20110902,261.97,260.1,263.7
20110901,270.1,265.34,271.64
20110831,272.1,267.73,272.88
20110830,268.83,265.14,271.22
20110829,267.01,266.51,269.46
20110826,259.74,256.31,264.96
20110825,264.92,258.89,268.37
20110824,259.41,258.36,264.74
20110823,251.5,249.28,260.44
20110822,251.75,247.02,253.25
20110819,249.42,245.18,257.18
20110818,261.47,249.99,262.18
20110817,269.74,265.12,271.57
20110816,275.94,264.88,275.94
20110815,276.44,272.75,282.21
20110812,284.47,279.92,284.96
20110811,276.63,273.93,283.97
20110810,280.41,273.59,281.78
20110809,280.22,270.23,287.02
20110808,281.21,271.9,284.22
20110805,290.98,280.72,294.7
20110804,296.95,288.45,299.13
20110803,296.74,291.52,301.2
20110802,302.7,291.52,299.11
20110801,305.3,299.29,307.44
20110729,301.81,301.54,307.17
20110728,302.29,301.2,307.68
20110727,308.28,302.07,310.16
20110726,308.72,308.3,313.44
20110725,306.37,306.19,312.39
20110722,302.39,301.83,309.44
20110721,296.72,296.71,303.73
20110720,300.79,297.38,301.11
20110719,297.77,297.47,302.04
20110718,295.95,295.7,300.72
20110715,298.45,293.79,299.82
20110714,269.29,263.1,270.73
20110713,268.23,267.97,271.73
20110712,263.82,262.74,269.44
20110711,263.83,262.49,267.72
20110708,266.21,263.37,268.56
20110707,270.23,267.67,275.06
20110706,266.48,266.25,268.99
20110705,262.39,262.39,267.43
20110701,253.12,252.94,260.33
20110630,250.74,250.5,253.08
20110629,248.02,245.94,249.87
20110628,241.77,241.77,247.86
20110627,236.8,236.6,244
20110624,240.1,236.27,240.13
20110623,240.82,236.63,241.19
20110622,245.48,243.12,245.93
20110621,243.35,242.12,246.72
20110620,242.26,239.38,242.87
20110617,252.84,242.16,253.09
20110616,251.15,248.09,253.81
20110615,252.26,250.05,253.92
20110614,253.82,253.24,256.78
